epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
8,75.8567,1.79755,2.55049,1.51885,0.01064,1,0.03685,0.01106,1.32702,166.384,2.14116,8.84765e-05,8.84765e-05,8.84765e-05
9,84.0202,1.23183,3.15701,1.44191,0.01064,1,0.03685,0.01106,1.09507,145.115,2.00214,9.92298e-05,9.92298e-05,9.92298e-05
10,95.0303,1.55873,2.43604,1.79405,0.01064,1,0.03685,0.01106,1.47226,65.631,1.94875,0.000109511,0.000109511,0.000109511
11,102.04,1.74866,1.85725,1.54513,0.01064,1,0.03685,0.01106,1.56387,37.8414,1.86579,0.000119322,0.000119322,0.000119322
12,109.372,1.22516,2.40009,1.6058,0.02439,1,0.03431,0.00675,1.72354,28.1325,2.34452,0.00012866,0.00012866,0.00012866
13,117.054,1.68438,3.34841,1.96931,0.01282,1,0.05528,0.00704,2.21662,13.8674,2.8943,0.000137527,0.000137527,0.000137527
14,124.302,1.69934,2.39734,2.39206,0.42243,1,0.4975,0.07186,2.49998,7.59546,3.19328,0.000145922,0.000145922,0.000145922
15,132.232,1.26395,2.03081,1.59919,0.89167,1,0.995,0.20806,2.06404,7.79472,2.93868,0.000153846,0.000153846,0.000153846
16,139.661,2.40754,2.70793,2.42273,0.91406,1,0.995,0.398,1.67941,6.29031,2.77383,0.000161298,0.000161298,0.000161298
17,147.058,1.15725,1.7867,1.54754,0.63224,1,0.995,0.597,1.61499,4.76472,2.70319,0.000168279,0.000168279,0.000168279
18,154.572,1.64469,1.97162,1.56931,0.63224,1,0.995,0.597,1.61499,4.76472,2.70319,0.000174788,0.000174788,0.000174788
19,161.826,1.35378,2.12578,2.1425,0.08316,1,0.33167,0.199,1.4885,4.75778,2.68107,0.000180826,0.000180826,0.000180826
20,167.443,0.98625,2.04022,1.32615,0.08316,1,0.33167,0.199,1.4885,4.75778,2.68107,0.000186392,0.000186392,0.000186392
21,173.685,1.37159,1.78815,1.39239,0.00541,1,0.02031,0.01218,1.39432,5.3091,2.36625,0.000191486,0.000191486,0.000191486
22,182.122,1.83684,2.62884,1.57934,0.00541,1,0.02031,0.01218,1.39432,5.3091,2.36625,0.000196109,0.000196109,0.000196109
23,188.548,1.09655,1.71244,1.47732,0.00535,1,0.01059,0.00489,1.31065,6.87798,2.30661,0.00020026,0.00020026,0.00020026
24,194.09,1.04076,1.59008,1.22349,0.00535,1,0.01059,0.00489,1.31065,6.87798,2.30661,0.00020394,0.00020394,0.00020394
25,200.149,0.62363,0.99916,1.19136,0.00543,1,0.00913,0.00456,1.61389,6.84385,2.40596,0.000207148,0.000207148,0.000207148
26,206.252,1.45564,2.00016,2.17311,0.00543,1,0.00913,0.00456,1.61389,6.84385,2.40596,0.000209884,0.000209884,0.000209884
27,213.966,0.87027,1.15285,1.05759,0.00562,1,0.01309,0.00262,1.89434,5.7834,2.4608,0.000212149,0.000212149,0.000212149
